"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1806592420370374666","Fri Jun 28 07:36:12 +0000 2024","0"," Bomba sup. aguas limpias 800w-3200 l/h - 156.12 EUR€ #madalishop #ofertas #ecommerce #enviogratis #belleza #hogar #tecnologia #regalos #alfagreen https://t.co/uvVXM1QkXt","1806592420370374666","","","in","España","0","0","0","https://x.com/madali_shop/status/1806592420370374666","1630558004427870208","madali_shop"
"1806592388426609063","Fri Jun 28 07:36:04 +0000 2024","0"," Cepillo limpia-bujias puas laton - 1.50 EUR€ #madalishop #ofertas #ecommerce #enviogratis #belleza #hogar #tecnologia #regalos #stein https://t.co/fnZgFo1KGU","1806592388426609063","","","in","España","0","0","0","https://x.com/madali_shop/status/1806592388426609063","1630558004427870208","madali_shop"
"1806584220841840726","Fri Jun 28 07:03:45 +0000 2024","0","Yuyur sejak saat itu aku kalo beli barang yang kurasa mahal dan gak bisa di ecommerce.. terpaksa banget aku pakai akun IGku yang followernya banyak. Soalnya resiko tertipunya agak lebih rendah dibanding aku pakai second acc.","1806584254127874231","","Onychristy_","in","Indonesia","0","0","0","https://x.com/Onychristy_/status/1806584254127874231","411969606","Onychristy_"
"1806584220841840726","Fri Jun 28 07:03:38 +0000 2024","0","Jadi biasanya aku kalo belanja nanya bisa pakai syopi atau tokped? Kalo bisa aku pilih co lewat ecommerce gpp kena biaya admin 6-8% yg penting hati damai. Ada seller yg minta split bill sebagian tf langsung sebagian ecommerce. Kalo gini presentase yg tf langsung dikit aja.","1806584226147435005","","Onychristy_","in","Indonesia","0","1","0","https://x.com/Onychristy_/status/1806584226147435005","411969606","Onychristy_"
"1806583666468102174","Fri Jun 28 07:03:24 +0000 2024","1","notes dan bukti pembelian via e commerce https://t.co/kAdtw5inE3","1806584165544157253","https://pbs.twimg.com/media/GRJGuIGbcAEOJWD.jpg","jenokriya","in","she/her","0","0","0","https://x.com/jenokriya/status/1806584165544157253","1234023464798834689","jenokriya"
"1806160291199357089","Fri Jun 28 07:03:16 +0000 2024","0","@BudiBukanIntel Solo technopark ada 3 gedung tebak 2 gedung dipake buat apa? Yak betul outsourcing ecommerce","1806584133403259036","","BudiBukanIntel","in","Bawah tanah","0","0","0","https://x.com/umbiiiiiii/status/1806584133403259036","389354687","umbiiiiiii"
"1803008344585797730","Fri Jun 28 07:01:33 +0000 2024","0","@Akira_S0R4 @Bofurin_Fess Boleh kak asalkan ada melalui e commerce kwkwkwk (gak berani kalo non e commerce)","1806583702220366180","","Akira_S0R4","in","","0","1","0","https://x.com/PlainBread203/status/1806583702220366180","1074175003115937792","PlainBread203"
"1806572593308369121","Fri Jun 28 06:17:25 +0000 2024","1","Yeah buat ecommerce yg mayan generik emang kalo nyimpen SKU gitu khan bisa banyak attributnya. Sesimpel fashion aja yg ada kategori sepatu sama baju khan atributnya beda satu bisa pake ukuran sepatu US &amp; EU dan baju pun ada size S-XL. https://t.co/muY9aqSzVj Kalo pake","1806572593308369121","","","in","Jakarta","0","0","0","https://x.com/petrabarus/status/1806572593308369121","18399213","petrabarus"
"1806565152323743811","Fri Jun 28 05:47:51 +0000 2024","0","Halo teman2 aku mau prelove baju2 aku yang masih bagus dan ada juga yg masih baru. Bisa ecommerce juga kirimnya dan bisa gratis ongkir ya. Dom aku di Depok Sawangan. Yang diupload baru sebagian aja baju2 yang lain bakal di upload lagi https://t.co/vrVJgyM7r7","1806565152323743811","https://pbs.twimg.com/media/GRI1al4bkAAhvtc.jpg","","in","Jakarta Pusat, DKI Jakarta","1","0","0","https://x.com/refnotastia/status/1806565152323743811","942836398108811264","refnotastia"
"1806564606263062733","Fri Jun 28 05:45:41 +0000 2024","0","Sumpah takut bgt gw beli kondom di e commerce dan ternyata pemberitahuan pesan nya masuk email dan email nya nyantol di HP mama. Sumpah tadi disidang gemeter bgt tapi aku ga ngaku dan bilang itu email promosi pliss help kalau ditanyain aku bilang gimana ya","1806564606263062733","","","in","Malang, Jawa Timur","0","0","0","https://x.com/maultern/status/1806564606263062733","1324378641078255617","maultern"
