cid;comment;reply_cid;reply_id;reply_text
7376583491785851654;ide usaha ap yang cocok buat irt yang ngga harus ninggalin rumah min🙏;7379524314830521093;7376583491785851654;jualan jajanan dirumah kak, semacam pentol/seblak dll
7376583491785851654;ide usaha ap yang cocok buat irt yang ngga harus ninggalin rumah min🙏;7384595459073671941;7376583491785851654;udah banyak
7376583491785851654;ide usaha ap yang cocok buat irt yang ngga harus ninggalin rumah min🙏;7386010814857315078;7376583491785851654;jualan produk digital aja kak
7376583491785851654;ide usaha ap yang cocok buat irt yang ngga harus ninggalin rumah min🙏;7386020740157752069;7376583491785851654;handphone ga dukung tahun lalu pernah promosiim aplikasi sebulan dapet sejuta,tapi ortu suruh berhenti 🥺
7376583491785851654;ide usaha ap yang cocok buat irt yang ngga harus ninggalin rumah min🙏;7386021650867241734;7376583491785851654;sayang banget.. padahal udah sejuta. tapi emang ridho ortu penting banget sih. mungkin bisa dijelasin dulu lebih detail bahwa jualan produk digital itu halal. ☺️
7376583491785851654;ide usaha ap yang cocok buat irt yang ngga harus ninggalin rumah min🙏;7387571382627025670;7376583491785851654;usaha digital itu yang gi mana ka
7378727681963377414;petani engga ada 😭;7387047635335414534;7378727681963377414;lah browww emang gada di sini petani mah diatas 3 juta der😜
7378727681963377414;petani engga ada 😭;7383383243896914694;7378727681963377414;gpp lah semangat brow petani muda sukses🔥
7371833545084748549;bingung pgn bnyk yg bisa di raih;7376161048167236358;7371833545084748549;fokuskan untuk raih 1 tujuan kak 💪
7375919997041001221;aku udah punya idenya,tp modalnya blm ada;7376073248557826822;7375919997041001221;bisa mulai dengan menjadi reseller kak yg minim modal. yuk belajar lbh lanjut di tumbu.co.id lalu klik icon Whatsapp utk ngobrol dg Admin 😁
7373277401475990277;caranya;7376161266803802885;7373277401475990277;yg masih bingung yuk belajar lbh lanjut di tumbu.co.id lalu klik icon Whatsapp utk ngobrol atau diskusi dg Admin 😁
7376141185356317446;modalnya mana takut kredit gw wkkw;7376160936376599301;7376141185356317446;bisa mulai dengan menjadi reseller kak yg minim modal. yuk belajar lbh lanjut di tumbu.co.id lalu klik icon Whatsapp utk ngobrol dg Admin 😁
7378157583104066310;untuk pemula jual minuman apa ya rekomendasinya? dgn modal 10jt?;7378160206641447686;7378157583104066310;Kawa kawa😭
7378157583104066310;untuk pemula jual minuman apa ya rekomendasinya? dgn modal 10jt?;7378162225427071749;7378157583104066310;kawa kawa apaan😭😫
