cid;comment;reply_cid;reply_id;reply_text
7382593869827195654;bg bagisto klo dijadiin project buat skripsian menurut abang gimana bg?;7382598843215921925;7382593869827195654;bisa aja, tp di update fiturnya bukan plek sm percis itu yg di tulis skripsi. malu atuh, kalo ngakuin project orang.
7382593869827195654;bg bagisto klo dijadiin project buat skripsian menurut abang gimana bg?;7382809359599239941;7382593869827195654;iya juga bg, okeoke bang makasihh
7378301796220289797;free bg?;7378301991972373253;7378301796220289797;free open source bang
7378301796220289797;free bg?;7378302222964228869;7378301796220289797;mantapp jadi tinggal nambahin midtrans sama live chat
7368957313128907525;bang pendapat lu tentang wordpress yng sekarang sedang naik daun ?;7368985964100207365;7368957313128907525;Dari dulu wordpress naik daun kok bang 😂. saat ini lg ngerjain company profile pake wordpress jg.
7368957313128907525;bang pendapat lu tentang wordpress yng sekarang sedang naik daun ?;7368986197103149829;7368957313128907525;work it wordpress atau coding bang ? untuk sekala “aplikasi sistem” ?
7368957313128907525;bang pendapat lu tentang wordpress yng sekarang sedang naik daun ?;7368993150255825669;7368957313128907525;semuanya work kok, wkwk, kalo mau nyari keamanan dan kostumisasi sesuka hati ya mending ngoding, wordpress cocoknya buat skala kecil - menengah
7368957313128907525;bang pendapat lu tentang wordpress yng sekarang sedang naik daun ?;7369000953234178822;7368957313128907525;sesuai kebutuhan aja bang. minta apps ecommerce ky tokped kan g bsa maksain pake strukturny wordpress juga. jadi nyesuain kebutuhan jg
7375596729322734342;sistem pengarsipan surat masuk keluar ada ga mas?;7375602186544481030;7375596729322734342;ini banyak kayanya.. nnti sy cek deh 😁
7375596729322734342;sistem pengarsipan surat masuk keluar ada ga mas?;7375606343850115846;7375596729322734342;ada project tugas akhir soal nya mas ✌
7369051524000301829;klo buat absensi apa bang?;7369065733345968901;7369051524000301829;ada orangeHRM bang
7369051524000301829;klo buat absensi apa bang?;7369938243528803078;7369051524000301829;download dimana bang 🙏
7369016760652579590;bang mau minta saran Project untuk ujian akhir pakai laravel apa ya kira-kira?.;7369045937224483589;7369016760652579590;ini di pakai company bgt utk org2 yg wajib punya sertifikat dgn jangka waktu tertentu
7369016760652579590;bang mau minta saran Project untuk ujian akhir pakai laravel apa ya kira-kira?.;7369084299990942470;7369016760652579590;noted bang. terima kasih bang
7369016760652579590;bang mau minta saran Project untuk ujian akhir pakai laravel apa ya kira-kira?.;7369045898334618374;7369016760652579590;fokusny dl aja. finance, mngement, hr, atau apa? nnti tgl cari temanya, misal HR : bsa catatan dan notif sertifikasi karyawan.
7375522420721091333;cara nyari tau library/framework yang terbaru/bagus itu gimana;7375561659111670534;7375522420721091333;liat di github yg forknya banyak atau bintangnya tinggi bang. atau bsa cek di packagist.org biasanya yg bnyk di pake urutanny di atas
7369054130789286661;ngpa project ujian akhir udh selesai baru muncul fyp😭;7369065896303149829;7369054130789286661;maap bang, baru posting lg. kmarin2 mayan hectic. hahaha 😂
7369228082005918469;terbatas hanya bahasa scripting;7369511799753048838;7369228082005918469;mksd ny gimana bg
