cid;comment;reply_cid;reply_id;reply_text
7332838744313168645;that last scream 😭;7333024818847236869;7332838744313168645;Teriakan berasal dari lubuk hati paling dalam 🙏😉
7332850739594887942;LAH INI FYP,tetep ilmu padiii kaa🌾🌾🌾;7333024550613828358;7332850739594887942;Menyala abangkuh 🔥
7332843342826373893;kapan fyp?;7333024622130266885;7332843342826373893;Semoga hari ini 🙏
7332843342826373893;kapan fyp?;7333034300349137669;7332843342826373893;aamiin
7332868614435046149;tenang udh fyp nih;7333024684533957382;7332868614435046149;Amin 🥹
