cid;comment;reply_cid;reply_id;reply_text
7381372295757710085;Spill lighting nya kak;7383188520863204102;7381372295757710085;di vt terbaru saya kak🥰
7381372295757710085;Spill lighting nya kak;7383948570225640197;7381372295757710085;Bantu follow yuk aku affiliat pemula biar 1k followwer🙏🥰
7385127750556451592;nk ambik sample tapi takde background yg cantik😭;7385510907008353032;7385127750556451592;background tak wajib sis.. mula dgn apa yg ada 😊 nanti pelan2 upgrade hila dah ada hasil. Semangat sis✨️
7370367315085755141;menyalaa 🔥;7370466693153342214;7370367315085755141;🔥🔥🔥
7385144771717038853;MasyaAllah semoga aku bisa sesemangat kakak juga buat bikin videonya🤲🏻💃🏻💃🏻;7385155995156448006;7385144771717038853;Semangat selalu kak 🥰😇
