cid;comment;reply_cid;reply_id;reply_text
7324871219416433413;Kursinya beli dimana?;7345747692864553734;7324871219416433413;kk mau kursinya ?
7324871219416433413;Kursinya beli dimana?;7345845512647639814;7324871219416433413;Ya mauuu dong
7383218985817703173;Ini Kameranya Langsung Kamera Hp atau aplikasi TIK tok Kak;7383224361325921030;7383218985817703173;pakek camera hp dl kak... baru edit di capcut
7383218985817703173;Ini Kameranya Langsung Kamera Hp atau aplikasi TIK tok Kak;7383237738143695622;7383218985817703173;Berarti Ini Vidionya FULl panjang Ya Baru Di Editt
7383218985817703173;Ini Kameranya Langsung Kamera Hp atau aplikasi TIK tok Kak;7383248874326999813;7383218985817703173;yup bener kk😁
