cid,comment,reply_cid,reply_id,reply_text,"cid,comment","cid,comment,""cid,comment"""
7084801002188145435,lah kok baru fyp 2022😓,7.08705713375781e+18,7084801002188145435,sama,,
7084801002188145435,lah kok baru fyp 2022😓,7.319753960324466e+18,7084801002188145435,2024,,
7318927709388030725,hai aku dari 2024,7.318977448501986e+18,7318927709388030725,samaa😁,,
7318927709388030725,hai aku dari 2024,7.319328938676094e+18,7318927709388030725,sama 🌸🌸,,
7318927709388030725,hai aku dari 2024,7.319032780192744e+18,7318927709388030725,smaa💗💐,,
7318927709388030725,hai aku dari 2024,7.323037203092833e+18,7318927709388030725,samaa🤣,,
7318927709388030725,hai aku dari 2024,7.321668344388978e+18,7318927709388030725,samaa wkwk,,
7318927709388030725,hai aku dari 2024,7.320483277894551e+18,7318927709388030725,sama 😘✌️,,
7315623191832003334,hai aku dari 2023,7.319061850989479e+18,7315623191832003334,Allooo masa laluu🗿,,
7315623191832003334,hai aku dari 2023,7.315641545046148e+18,7315623191832003334,sma😭🗿,,
7315623191832003334,hai aku dari 2023,7.315686706023368e+18,7315623191832003334,sama,,
7315623191832003334,hai aku dari 2023,7.316562008278959e+18,7315623191832003334,smk,,
7315623191832003334,hai aku dari 2023,7.317215816445363e+18,7315623191832003334,smp,,
7315623191832003334,hai aku dari 2023,7.320204672722093e+18,7315623191832003334,hai aku dari 2024,,
6956953179150549762,knp ngomongnya harus kaya gtu sih,6.957131481731499e+18,6956953179150549762,tinggal skip kk,,
6956953179150549762,knp ngomongnya harus kaya gtu sih,6.958315557552752e+18,6956953179150549762,epaa kamu julid bgt😂,,
6956953179150549762,knp ngomongnya harus kaya gtu sih,6.958354283629266e+18,6956953179150549762,😳😌,,
6956953179150549762,knp ngomongnya harus kaya gtu sih,6.958354362703906e+18,6956953179150549762,biasalah,,
6956953179150549762,knp ngomongnya harus kaya gtu sih,6.959462654927373e+18,6956953179150549762,ahahha,,
6956953179150549762,knp ngomongnya harus kaya gtu sih,6.957063122913854e+18,6956953179150549762,ciri khas,,
6956905348448649986,kak kalo softlens nya dicuci pake mesin cuci bisa gak?,6.956935552864749e+18,6956905348448649986,di loandry bisa,,
6956905348448649986,kak kalo softlens nya dicuci pake mesin cuci bisa gak?,6.956957079794124e+18,6956905348448649986,😂😂😂😂,,
6956905348448649986,kak kalo softlens nya dicuci pake mesin cuci bisa gak?,6.956940391933363e+18,6956905348448649986,"bisaaa, jangankan nodanya ilang, ampe soplen soplennye ilang",,
6956905348448649986,kak kalo softlens nya dicuci pake mesin cuci bisa gak?,6.956948835294365e+18,6956905348448649986,bener Tapi Kalo Mksd Dia Soflen Nya Penuh Sampe Penuh Di Mesin Cuci Bagi Mana?,,
6956905348448649986,kak kalo softlens nya dicuci pake mesin cuci bisa gak?,6.956959321020941e+18,6956905348448649986,🤣🤣🤣sekali cuci ya bund bersih tanpa noda membekas,,
6956905348448649986,kak kalo softlens nya dicuci pake mesin cuci bisa gak?,6.959498247186957e+18,6956905348448649986,gw baca komen lu ampe ngakak,,
6956951291545469698,Gaada yg mo ucapin hbd gtu buat aku?🙂,6.956960716138071e+18,6956951291545469698,hbd btw gw besok,,
6956951291545469698,Gaada yg mo ucapin hbd gtu buat aku?🙂,6.956963397883807e+18,6956951291545469698,HAHAHA SAMAA,,
6956951291545469698,Gaada yg mo ucapin hbd gtu buat aku?🙂,6.957063120825271e+18,6956951291545469698,wkwk,,
6956951291545469698,Gaada yg mo ucapin hbd gtu buat aku?🙂,6.957142287646524e+18,6956951291545469698,hbd,,
6956951291545469698,Gaada yg mo ucapin hbd gtu buat aku?🙂,6.957171985240147e+18,6956951291545469698,"hbd ya,wkwk",,
6956951291545469698,Gaada yg mo ucapin hbd gtu buat aku?🙂,6.95734166753616e+18,6956951291545469698,hbd 🗿🤲,,
7317524297257403141,Hai aku dri 2023 🙏🗿,7.31901585123972e+18,7317524297257403141,aku dari 2024,,
7317524297257403141,Hai aku dri 2023 🙏🗿,7.319019904630801e+18,7317524297257403141,haiiiii,,
7317524297257403141,Hai aku dri 2023 🙏🗿,7.319020019005146e+18,7317524297257403141,kami semua dri 2023 dan hari ini 2024👍🗿,,
7317524297257403141,Hai aku dri 2023 🙏🗿,7.334997444126344e+18,7317524297257403141,🗿kenapa ada Malaysia,,
