cid;comment;reply_cid;reply_id;reply_text
7306336217355272966;buat clothing brand kak🙏;7306707041136509701;7306336217355272966;gw tunggu bang
7306336217355272966;buat clothing brand kak🙏;7306541096502280965;7306336217355272966;Next content kita bahas ya
7348351633044357893;Buat billiard kak 😁✌🏻;7348405443649372934;7348351633044357893;Ahahha menarik ini
7348351633044357893;Buat billiard kak 😁✌🏻;7348545026290549510;7348351633044357893;boleh kak need tips 😁🙏🏼
7348351633044357893;Buat billiard kak 😁✌🏻;7348654188132549382;7348351633044357893;Hahaha okee
7305801626525451013;Buat klinik gigi dongggg🥺;7306336152944313093;7305801626525451013;buat clothing brand kak please🙏
7305801626525451013;Buat klinik gigi dongggg🥺;7306006668465931014;7305801626525451013;Sukses terus kaak, semangaat 💓
7305801626525451013;Buat klinik gigi dongggg🥺;7305941822671504134;7305801626525451013;Wah menarik, next ya
7305801626525451013;Buat klinik gigi dongggg🥺;7306541170468651782;7305801626525451013;Aku udah bahas fashion, coba check aja
7305801626525451013;Buat klinik gigi dongggg🥺;7306078664151958277;7305801626525451013;Siaaap makasih ya
7312562787363275526;klo untuk restaurant indonesia yg ada diluar indo?;7314274925782975238;7312562787363275526;Waaah keren
7312562787363275526;klo untuk restaurant indonesia yg ada diluar indo?;7313803139613917957;7312562787363275526;di Qatar mas
7312562787363275526;klo untuk restaurant indonesia yg ada diluar indo?;7313028560459924229;7312562787363275526;Waaah menarik nih mas. Lokasinya dimana mas?
7364295933871588101;mau belajar nih🥰;7364468333683983110;7364295933871588101;Siaaap
7285146063969714950;kak untuk produk frozenfood rumahan bagaimana kak?;7285173644862948102;7285146063969714950;chicken katsu, eggroll, chicken dan shrimp nugger kak
7285146063969714950;kak untuk produk frozenfood rumahan bagaimana kak?;7285185241714197253;7285146063969714950;Waaah enak tuh hehe oke next kita bahas ya
7285146063969714950;kak untuk produk frozenfood rumahan bagaimana kak?;7285173440896582405;7285146063969714950;Produknya apa tuh kak?
7285040446462804742;produk kesehatan bang;7285301609265332998;7285040446462804742;ajar bajakah mas
7285040446462804742;produk kesehatan bang;7285362130759926534;7285040446462804742;Waduuh bajakan apa nih 😅😅
7285040446462804742;produk kesehatan bang;7285105390059635462;7285040446462804742;Ap tuh produknya
7285024965736563461;Kalo slow fashion gimana kak?;7285032250168853253;7285024965736563461;Okkaii kak, makasii
7285024965736563461;Kalo slow fashion gimana kak?;7285027096417944325;7285024965736563461;Fashion aku udah pernah bahas di content sebelumnya sih. Bisa check aja hehe
7285024965736563461;Kalo slow fashion gimana kak?;7285105486444249862;7285024965736563461;Sams sama
7305283417619301126;kalo studio nail art gmn bang;7305790780717957893;7305283417619301126;siap bang
7305283417619301126;kalo studio nail art gmn bang;7305378258257478406;7305283417619301126;Next content yaa
7305003829497479941;kalau untuk coffee shop gimana kak?;7305023715124658950;7305003829497479941;Next kita bahas ya
7306515769088164614;Bisa dipake juga kayanya untuk sabun kebersihan, ya?;7306540972556780294;7306515769088164614;Bisa banget
7306074800765715205;contoh marketing untuk mobil baru;7306078614319186693;7306074800765715205;Boleh , next content ya
7288316575865881349;kpn bahas produk brand motor?;7288515497468855046;7288316575865881349;Ahaha iya next ya
7285514310444106502;pake aplikasi apa itu buat brainstorming;7285525070171357958;7285514310444106502;Miro namanya
7285057767428948741;sabi kali buat versi "Creative Agency" yang baru;7285105204637270789;7285057767428948741;Boleh
7285040352578355973;ada yt nya ndak bang;7285105408020448006;7285040352578355973;Belum ada hehe
7318195989738881798;Content marketing for hospitality management & property, bro;7318271539279184645;7318195989738881798;Menarik, next content ya
7305022795346510598;Produk sambal bakar dong bang 🥺🙏;7305034192877650693;7305022795346510598;Instagram kak
7305022795346510598;Produk sambal bakar dong bang 🥺🙏;7305059684154852101;7305022795346510598;Oh di instagram ya account nya. Next kita bahas ya
7305022795346510598;Produk sambal bakar dong bang 🥺🙏;7305023657801351941;7305022795346510598;Akunnya apa?
7295484785597121286;travel dong bang;7296091572604502790;7295484785597121286;ditungguuuu
7295484785597121286;travel dong bang;7296085922092876550;7295484785597121286;Boleh
7315602011637023494;kosmetik dong bang;7316037740823626501;7315602011637023494;Next content ya
7308806911276532485;kak buat produk salad dong;7308935613998514949;7308806911276532485;Next content ya
7306544782363951878;buattt coffeeshop dong kak;7306736055092626182;7306544782363951878;Oke next ya
7298908083312935685;marketing jasa design arsitektur dong.;7298912321844445958;7298908083312935685;Boleeh
7285002323284198150;buat produk Quran kak;7285023787959386885;7285002323284198150;iya
7285002323284198150;buat produk Quran kak;7285008970770465542;7285002323284198150;Oke kak, jual quran ya?
7306307380539081477;Buat kucing dong bg;7306328833006027526;7306307380539081477;Wiii menarik hehe
