cid;comment;reply_cid;reply_id;reply_text
7328596326023119622;kaos kakinya ad jual juga kah kk;7379204443123237638;7328596326023119622;di toko oren smua ad🥰
7326445230437335814;cdk hargq;7326445307393786630;7326445230437335814;cek harga
7314305765421974277;kayapa cara psnx ka;7314487606561358597;7314305765421974277;klik keranjang kuning nya kk.. atau kk bisa cek di vt aku ya.. udah aku buatin cara pesan nya
7247300933427036934;mbak iku harga nya cuma 80 mbak;7260866286099022597;7247300933427036934;cuma 80k aja kk.. klik keranjang kuning nya ya
7243690145851933441;bagus banget sepatu nya;7243706035327189765;7243690145851933441;terimakasih kk 🥰🥰🥰
7241832896137331461;bagus bgt kk sepatunya🥰;7241833038416560901;7241832896137331461;terimkasih kk.. order yuk 🥰🥰
7241832896137331461;bagus bgt kk sepatunya🥰;7380693002677650181;7241832896137331461;CK harga ka
7241034884113498886;Masya Allah cakep banget...;7241035327913411333;7241034884113498886;Udah persen kk..semoga barang tidak mengecewakan..
7241034884113498886;Masya Allah cakep banget...;7241052229036917510;7241034884113498886;siap kak.. terimakasih .. ditungguyaa
7241034884113498886;Masya Allah cakep banget...;7241035103697224454;7241034884113498886;Terimakasih kak.. Langsung order dong .. 🥰🥰
7345334626820817672;salpok ama gelang kakinya😁✌️;7346928990713709318;7345334626820817672;cakep yaa 😁
7240370102935601925;bgus tuu 👍❤️;7240456722178114309;7240370102935601925;kk jualan ngk?
7240370102935601925;bgus tuu 👍❤️;7240454191159313158;7240370102935601925;kk klau boleh tau celana yg d pake berpa harga ny
7240370102935601925;bgus tuu 👍❤️;7240457042903941893;7240370102935601925;gak kak.. aku sepatu aja
7240370102935601925;bgus tuu 👍❤️;7240456075487740677;7240370102935601925;200k kak.. beli offline tapi
7240370102935601925;bgus tuu 👍❤️;7240370547532006150;7240370102935601925;terimakasih kk .. order yuk 🥰🥰
7345725509948900101;askum kk harga nya brpa;7346929033319842565;7345725509948900101;cuma 80k aja kk
7333056900995040006;bwrapa;7333077254355174150;7333056900995040006;80k ja kk
7241490061979910918;nice;7241491244714033926;7241490061979910918;terimakasih kk
7262991266731442949;kerang kuning;7263000204914279173;7262991266731442949;kerang ijo kk
7240247066546946822;sukses selalu, slm support 🥰;7240247308456477445;7240247066546946822;terimakasih kk 🙏🙏🥰🥰
7264133305245729537;nak beli;7264175111556154118;7264133305245729537;langsung beli
7249277020479210246;🥰;7249285600116228870;7249277020479210246;🥰🥰
7242929431672259333;mantul🥰;7242930128186688262;7242929431672259333;terimakasih 🥰🥰
7307779440820372230;berpa...ba;7311309014339945222;7307779440820372230;80k aja
7276265023818416902;berap ka;7276334074935051014;7276265023818416902;cuma 80k aja kk
7288211586362327813;nmbr 36;7288227499301225221;7288211586362327813;ready kk
7250317224342340358;bgus ka;7250330452522074886;7250317224342340358;terimakasih kk 🥰🥰
7240308294286738181;berp ka;7240322284070372102;7240308294286738181;murah kk ku.. cuma 80k aja .. order yuk di keranjang kuning nya
7378695174154076933;harga berapa Kak;7378852847138128646;7378695174154076933;cuma 80k aja kk..
7378695174154076933;harga berapa Kak;7378850412754993926;7378695174154076933;murah kak langsung cek profil aja🥰
7373553527132324614;cantik celana nya kk😁;7373561672613069574;7373553527132324614;salfok kk 😁😁
7373553527132324614;cantik celana nya kk😁;7373568271575073541;7373553527132324614;😁Iyah .. sepatu jg cantik
7384457175362077446;adakah yg kombinasi merah;7384625251063923462;7384457175362077446;ksong kk
7384418413236159237;harga berapa yah ka. yang. warna putih;7384430037812888326;7384418413236159237;cuma 80 k aja kk
7384391575989764870;celana beli di mna kk;7384430114509406981;7384391575989764870;offline kk
7382499052539888390;saya sudah beli yg ini, bagus kali sepatutnya;7382786691095937798;7382499052539888390;terimakasih kk 🥰🥰
7381774696801387269;spil celananya ka;7382028217635111685;7381774696801387269;waduhh.. g ad yg jual kk 😁
7378870682069697285;mau warna kaya dipakai kak;7378891885401080581;7378870682069697285;gas keranjang kuning kk
7376986340746298117;mauu bingit ini sepatu;7377433517020381958;7376986340746298117;gas kk
7376598946958885638;mau pesan kak
tapi gimana caranya ya🙏;7376951462314525445;7376598946958885638;klik keranjang kuning kk
7376415322231128838;harga brp kk;7376951529531998981;7376415322231128838;cuma 80an kk
7374691616416596741;kk berapa harganya;7374927972127671046;7374691616416596741;cuma 80k aja kk
7373459390798611205;ukuran 40 ada engga kk;7373471634680316677;7373459390798611205;ada.. kk
7372710925159744261;@aku mau sepatu murah;7372843799105028869;7372710925159744261;order kk
7327789376258441990;salpok ma celana nya bli di mn kk;7327844065708442373;7327789376258441990;haha celana nya g dijual kk
7327789376258441990;salpok ma celana nya bli di mn kk;7372504686274675462;7327789376258441990;celana nya beli dimana ka?
7327789376258441990;salpok ma celana nya bli di mn kk;7372519019092312837;7327789376258441990;offline kk 😁
