cid,comment
7111557425006215962,Tiktokshop brp?
7111546656793150234,sy sih jualan di semua platform kak. dari awal udh sy siapin fee s/d 10% biar klo ada kenaikan fee sy ngga perlu naikin harga dan margin tetep aman.
7111537384273527578,pokonya shopee paling besar fee nya... tambah cashback extra gratis ongkir extra, saya bikin 9% untuk antisipasi, belum kalo ikut campaign2 lain...
7111539697994007322,Lazada berarti termasuk dikit ya kak fee nya
7111562615314203419,Terimakasih banyak mas ilmu nya
7111537140806189851,ilmu mahal nih
7124379249083351834,wajar ada fee karena kita cuman numpang alias ngontrak.. jualan pake web sendiri pun sama aja resikonya. plus minus pasti ada
7112227329157530394,kalo barangnya mahal gmna bang ? misal harga barang 10jt nih, di potong 5% aja dh 500rb 😅
apakah ada maksimal komisi tiap platform ?
7111565581157090074,Info lagi nih kak, blibli komisi 2-8% udah free biaya gratis ongkir all type tokoo. Kebetulan jualan disana juga sih wkwk
7111573457967514395,terimakasih ilmunya ka
7111573360408576794,akhirnya bisa belajar.. makasih bang ilmunya..
7111562815136318235,Cara matiin PM tokped gmn bang biasa dipake buat rekber doang bukan buat jualan di sana mana fee nya gede beut 🥺
7111571781013652251,makasih ilmunya🥰
7111563984804905755,mas, bukalapak masih ada jualan?
7111566647525524250,bang udah buka kelas offline belum???
7111564108848661275,maksih infonya kaka😁
7111573447943930650,sy pembeli setia d @Tokopedia Official selain srg dpt freeong brg yg sy beli Alhamdulillah sllu sesuai foto
7111575217864639258,bermanfaat banget ilmuny
7111568307501695770,🥰🥰
7111551703162782490,siaapp kk
7371378309856887557,😳😳😳
7111571337134605082,@zhrranie
7111571018578166554,bukalapak paling murah feenya tapi pelanggannya pada lari semua gara2 kasus lama
7111567007477400346,saya 7,8% kena admin di shopee😭😭
