cid;comment;reply_cid;reply_id;reply_text
7255275443048416005;kakk mohon bantuan, saya dpt pesanan dari jerman tpi pas mau ngantar paket ke pos indo itu wajib minta taxpayer idnya pembeli-;7255275739166442246;7255275443048416005;-padahal taxpayer id itu info privat mereka, apakah saya harus pergi kepos office tmpt lain? sdh saya chat juga pos lewat ig dan katanya ga wajib😭
7255275443048416005;kakk mohon bantuan, saya dpt pesanan dari jerman tpi pas mau ngantar paket ke pos indo itu wajib minta taxpayer idnya pembeli-;7255294612070843142;7255275443048416005;coba aja ke agen pos lain. dan usahain kamu jadi langganan di agen itu kalo udah nemu yang enak dan kooperatif ya.
7255275443048416005;kakk mohon bantuan, saya dpt pesanan dari jerman tpi pas mau ngantar paket ke pos indo itu wajib minta taxpayer idnya pembeli-;7255322298382254854;7255275443048416005;biasanya pusat/agen infoin setau ku Brazil,Fr, chile,peru, argen yg pake taxpayer. jadi pilihanku remove kiriman yg kesana
7255275443048416005;kakk mohon bantuan, saya dpt pesanan dari jerman tpi pas mau ngantar paket ke pos indo itu wajib minta taxpayer idnya pembeli-;7255322737642849029;7255275443048416005;yg pake taxpayer itu negara europe kak, saya tahu tpi masih mau research apkh bisa ngirim disana tanpa masalah lgi, krn majoritas pembeli jg dari sana
7255275443048416005;kakk mohon bantuan, saya dpt pesanan dari jerman tpi pas mau ngantar paket ke pos indo itu wajib minta taxpayer idnya pembeli-;7255327795836322566;7255275443048416005;sy dpt surat, negara yg saya sebutin itu hrs pake, kayanya jerman juga ikutan. sdh 4tahun sy jadi seller d sana
7255275443048416005;kakk mohon bantuan, saya dpt pesanan dari jerman tpi pas mau ngantar paket ke pos indo itu wajib minta taxpayer idnya pembeli-;7255443591836992262;7255275443048416005;oh ya tracking di etsynya kebaca ga ya?pake pos ekspor apa ems?
7321074507733058309;mohon bantunnya aku dapat pesanan dari riyadh untuk pengiriman ke riyadh pakai expedisi apa yg terjamin dan bagaimana biaya di luar biaya kiloan.seperti asuransi dll;7322345093187486470;7321074507733058309;pos aja
7246239502040466182;kak kalo punya nya dana gimana penarikannya belum punya ATM?;7356505540518937350;7246239502040466182;tinggal bikin kak gk pke bayar jg buat rekening, paling buat saldo 50 rebu
7243251830813147910;kalo gapunya kartu credit gimana kak🥺;7243287963161281285;7243251830813147910;pake jenius
7243251830813147910;kalo gapunya kartu credit gimana kak🥺;7243295996342502150;7243251830813147910;oke makasihh kak🥰
7178904946367644442;bisa pakai PayPal kah?;7255276824900682502;7178904946367644442;bisa
7178904946367644442;bisa pakai PayPal kah?;7255277007860220677;7178904946367644442;thank youuuu
