cid;comment;reply_cid;reply_id;reply_text
7288234214838190854;anak sy lulusan S1 manajemen keuangan.. ikut bootcam.. eeehh cpt dpt kerja digital marketing alhamdulillah👍;7322968341035254533;7288234214838190854;Purwadhika school ..👍👍 blm sampai ikut magang udh dpt kerja..silakan dicoba..
7288234214838190854;anak sy lulusan S1 manajemen keuangan.. ikut bootcam.. eeehh cpt dpt kerja digital marketing alhamdulillah👍;7322883241190474501;7288234214838190854;Bootcamp dimana ka??
7269553752699306758;kok bisa samoe interview. biasanya udah gagal di adm kalay ga sesuai jurusan;7269565630403150597;7269553752699306758;Aku kerja ngga linier sma jrusan, kuncinya bljar sih wlwpun dri nol
7269553752699306758;kok bisa samoe interview. biasanya udah gagal di adm kalay ga sesuai jurusan;7269564610578137861;7269553752699306758;mungkin portofolio dia bagus makanya HR tertarik
7269553752699306758;kok bisa samoe interview. biasanya udah gagal di adm kalay ga sesuai jurusan;7269563173655806726;7269553752699306758;ya itu kan contoh.., dn cara memberikan jawaban kl sampe intervieuw kak
7269553752699306758;kok bisa samoe interview. biasanya udah gagal di adm kalay ga sesuai jurusan;7287986894636925702;7269553752699306758;lah job digital marketing kebanyakan emang semua jurusan requirementnya😂
7269553752699306758;kok bisa samoe interview. biasanya udah gagal di adm kalay ga sesuai jurusan;7284316098215854853;7269553752699306758;ril, peluang kepanggil intv nya kecil banget. ikut bootcamp sekalipun kecuali ikut program yg emang job garansi
7269553752699306758;kok bisa samoe interview. biasanya udah gagal di adm kalay ga sesuai jurusan;7269753459182813958;7269553752699306758;Yess betul bgt sama kaya mimin😁
7284609870745617158;rill cuy aku jurusan pendidikan Bahasa Inggris tpi tembus masuk marketing;7383544325500715781;7284609870745617158;Bismillah nular aku juga pendidikan bahasa inggris smester 2 kak mauu belajar digital marketing
7284609870745617158;rill cuy aku jurusan pendidikan Bahasa Inggris tpi tembus masuk marketing;7288381248198836998;7284609870745617158;Apanya yg rill kak?
