cid;comment;reply_cid;reply_id;reply_text
7380274863892808454;klo ke prj tiket masuknya beli online atau offline kak?;7380279249201005318;7380274863892808454;Bisa keduanya ya kak, aku saranin online biar langsung masuk🥰
7380274863892808454;klo ke prj tiket masuknya beli online atau offline kak?;7380279560853684998;7380274863892808454;ok makasih kak infonya🥰
7380274863892808454;klo ke prj tiket masuknya beli online atau offline kak?;7380279815461470981;7380274863892808454;Sama sama🥰
7380274863892808454;klo ke prj tiket masuknya beli online atau offline kak?;7385056185332400901;7380274863892808454;beli tiket onlinenya dimana kak
7380547033675219717;ka yg dpet kertas vocher² gitu harus beli tiket yg brp?;7380926536092926725;7380547033675219717;Semua tiket pasti dapet kertas vouchernya ya😁
7380547033675219717;ka yg dpet kertas vocher² gitu harus beli tiket yg brp?;7380549611368891141;7380547033675219717;tiket harganya sama semua ka, nanti dapet kuponnya ko pas dipintu masuk jan kuatir
7380547033675219717;ka yg dpet kertas vocher² gitu harus beli tiket yg brp?;7384826141280453381;7380547033675219717;kalau beli utk 10 org nti dptnya 10 kertas y ka
7380547033675219717;ka yg dpet kertas vocher² gitu harus beli tiket yg brp?;7384974074239353605;7380547033675219717;iya ka
7380421014838985478;bumil strong bget jalan jalan di prj..saluttt🤭;7380926704616063749;7380421014838985478;😂😂 aslinya rada engap kak kalo udah keramean
7380421014838985478;bumil strong bget jalan jalan di prj..saluttt🤭;7380927403465802502;7380421014838985478;psti bntr bntr nyri tmpt duduk pngn duduk ya mih...sehat2 mami ocong,ciu🤗
7380423364629971717;yg buka jastip kabarin dongg mo nitip nihh;7385117923545432837;7380423364629971717;@kawasanjastip.id jastip ni sabtu
7380423364629971717;yg buka jastip kabarin dongg mo nitip nihh;7383692142432436997;7380423364629971717;Halo kak kalo mau jastip di PRJ? Bisa join klik link wa dibio FEE 5.000 aja kak😍
7380423364629971717;yg buka jastip kabarin dongg mo nitip nihh;7381865417129607942;7380423364629971717;Haloo boleh cek ig kita ya kak sudah berpengalaman selama 5 tahun untuk jastip 🥰
7380423364629971717;yg buka jastip kabarin dongg mo nitip nihh;7380799683587474181;7380423364629971717;Kak aku buka jastip🥰hayukk follow i'g ku lgsg join wa grup yaa. Link di bio i'g
7380807729212064517;bisa jasti gasiiii;7381696984304403205;7380807729212064517;Jastip di aku boleh
7380807729212064517;bisa jasti gasiiii;7388542649672139525;7380807729212064517;Open jastippp semua jajanan diprj!!! Yukk dripada keprj bayar 50k keatas ,belom antriannya yang bejubel😂 mending jastip diaku
7380807729212064517;bisa jasti gasiiii;7385020918592897798;7380807729212064517;halo kak..aku open jastip prj..freeongkir wilayah graha raya,kunciran,alam sutera,kutabumi,sangiang..bisa transaksi via toko ijo dan oren...bisa cek Ig ku @jastipsenda.. makasih kak
7380807729212064517;bisa jasti gasiiii;7383692229103469318;7380807729212064517;Halo kak kalo mau jastip di PRJ? Bisa join klik link wa dibio FEE 5.000 aja kak😍
7380807729212064517;bisa jasti gasiiii;7382524847974908677;7380807729212064517;Yuk bisa jastip di aku
7383592125860872966;sampe kapan??;7387719062699246341;7383592125860872966;12 juni - 14 juli ka
7383592125860872966;sampe kapan??;7383841524045546246;7383592125860872966;12juli kaa
7383592125860872966;sampe kapan??;7384012565657813765;7383592125860872966;14juli bukan 12juli
7389757918679401222;skincare di hall berapa sihh;7390014261919908613;7389757918679401222;di hall C kaka🥰
7389757918679401222;skincare di hall berapa sihh;7390026013520593669;7389757918679401222;thank u for information 🙏
7380261971697173254;wiiiiiii;7380262045634429702;7380261971697173254;Haiii🥰🥰
7380261971697173254;wiiiiiii;7380262375896728325;7380261971697173254;halooo kaka cantik🥰
7380261971697173254;wiiiiiii;7380269785924027142;7380261971697173254;sapa dong kak Hai 👋
7383713917426336518;bakso apung hall brp kak;7383867371935499014;7383713917426336518;kemarin aku beli lupa harganya berapa tapi dia bisa bawa tempat bakso afungggnya lo🤭🤭🤭
7380910306761589509;kak klo ke prj bisa non cash ga sih? atau pembayaranya only cash?;7380926450982224646;7380910306761589509;Beberapa bisa cash, ada juga yg harus non cash😁
7380910306761589509;kak klo ke prj bisa non cash ga sih? atau pembayaranya only cash?;7384384753283613446;7380910306761589509;bisa pakai CC juga kah?
7380282826341761797;kalo naik ojol masuknya lwt mana ya ?;7380299444836827910;7380282826341761797;Banyakan kalau ojol turun di pintu 2 yaa😁
7380276300403245830;gercepp;7380279832830247686;7380276300403245830;Haloo🥰🥰
7380276300403245830;gercepp;7380280006289687302;7380276300403245830;itu kaka habis uang berapa kak?
7380313061738382086;ada Saff n Co ngga say?;7380338083731129093;7380313061738382086;Jujur aku gak liatt😅
7380313061738382086;ada Saff n Co ngga say?;7380799412816937734;7380313061738382086;Ga ada ka
7380374070221488902;ka untuk main game di booth flimty min pembelian brp ka;7380926821607981829;7380374070221488902;Main hammer games gratis! Main wheel of fortune beli produk dulu😁
7380261867192075014;ke 4;7380262075624243974;7380261867192075014;Haloo😁😁
7380261512495317765;haloo kakak;7380261602388116229;7380261512495317765;Halooo🥰🥰
7380732882841240325;prj itu singatanya apa?;7380926661685953285;7380732882841240325;Pekan Raya Jakartaaa
7380559625659548421;alat dapur ka di hall brpa ?;7380799482109756165;7380559625659548421;D kak. Yukk titip sm aku🥰
7380399148141609734;Ka itu yang billboard merk merk handphone dari harga normal promonya jadi segitu ka?;7380400954540360453;7380399148141609734;Betulll🥰 tapi stocknya gak tau yaaa masih ada atau engga😅
7382758270727602949;cara beli tiket PRJ gimaana;7383792041854485253;7382758270727602949;jangan ka, bikin kapok banget
7380647478959801093;@flawlessan ada samsunggggg😂;7380698275856712454;7380647478959801093;kok bisa ya murah banget:(
7380393433716589317;@Amlr;7380395013002298118;7380393433716589317;kirimkan diriku uang yg bnyak ya Allah 🫠
