cid;comment;reply_cid;reply_id;reply_text
7356551442642158342;Shopee food skrg ada biaya lain" tambah mahal😞;7356948316816458502;7356551442642158342;iya lagii :' skrng mhal bgt sama kaya apk gfood skrng
7356551442642158342;Shopee food skrg ada biaya lain" tambah mahal😞;7357660519506281222;7356551442642158342;iya biar cuan si shope sedangkan si drivernya dapetnya dikit masi sama gk nambah" akkwkw
7356480183845700357;halo min aku dapet wa nih kata nya dari perusahaan buat tugas ngelike video di akun ini,itu spam bukan nya? soalnya agak aneh;7356480316594619141;7356480183845700357;dapet uang tapi nomor nya bukan dari Indonesia
