cid;comment;reply_cid;reply_id;reply_text
7330845935969551109;ya Rabbi ini org baik banget kagak jual jual wkwkwk murah rezeki kak;7331184178259051270;7330845935969551109;Aamiinnn!!!
7325835915380638469;Kak, boleh bagi web dmna kita bisa dpet social trends 2024 untuk indonesia ?;7326009930841801477;7325835915380638469;bisa dr wearesocial atau hootsuite kak
7325608571147043590;kak buatin contoh social media strategy untuk fake project dong, bikinnya tuh gmn😭;7325613561094472454;7325608571147043590;Sudaa pernah bikin liat vidio yg di pinnn
