cid;comment;reply_cid;reply_id;reply_text
7344286130631033605;nice 😁;7344953135410955013;7344286130631033605;thanks!
7344561211579794182;name game please;7344953103878619910;7344561211579794182;?
7345361496199447302;game name pliss;7345422640083485445;7345361496199447302;game teross
7345361496199447302;game name pliss;7345390644220920581;7345361496199447302;Bokep simulator
7345361496199447302;game name pliss;7369888214691578630;7345361496199447302;Apaan sih sok asik
7345361496199447302;game name pliss;7369888669014622982;7345361496199447302;udh bulan brp kocak😭
7344374884329456389;mksii bnyak bang gua jdi punya ide buat judul proposal 😭🤣;7344953103773500166;7344374884329456389;wkwk siap
7344675290332103430;Kerenn bangggg;7344953105040343813;7344675290332103430;thank you
7344703566801781509;jadi konten creator fashion harus sesuai tmpt kalau mau endorse;7344953229136380678;7344703566801781509;👀
7344592931074081542;PP LU KUCING RAMADHAN
LU GUA FOLLOW;7344953256744076038;7344592931074081542;..
7344938262870770437;kalo iklan rokok??;7344953401246515974;7344938262870770437;masalahnya rokok termasuk barang yg regulasinya ketat dan iklannya gak bisa sembarang 😁
