cid;comment;reply_cid;reply_id;reply_text
7093412619335238427;part 2 nih
▇▇▇▇▇
😁
..Part 2
▇▇▇▇▇;7093425057061520154;7093412619335238427;lahh😩😭
7093412619335238427;part 2 nih
▇▇▇▇▇
😁
..Part 2
▇▇▇▇▇;7093463343226192666;7093412619335238427;knp bang?😂
7093412619335238427;part 2 nih
▇▇▇▇▇
😁
..Part 2
▇▇▇▇▇;7093423844996039451;7093412619335238427;aku tertipu
7093412619335238427;part 2 nih
▇▇▇▇▇
😁
..Part 2
▇▇▇▇▇;7093463278382760730;7093412619335238427;wkwkwk
7093412619335238427;part 2 nih
▇▇▇▇▇
😁
..Part 2
▇▇▇▇▇;7344901189207606022;7093412619335238427;gw ketipu 😏
