cid;comment;reply_cid;reply_id;reply_text
7317245718052832005;kak itu foto atau vid pas yg pertama;7317249708840928005;7317245718052832005;foto
7250313705110586118;Kaka itu vidio sendiri apa dari tokonya ka, pliss ijin tanya;7250381202656658181;7250313705110586118;sama"
7250313705110586118;Kaka itu vidio sendiri apa dari tokonya ka, pliss ijin tanya;7250379715683926790;7250313705110586118;makasih ka,
7250010925733708550;kka spill filter nya kak;7250032579520152326;7250010925733708550;ga pake filter ka
