cid;comment;reply_cid;reply_id;reply_text
7351197112710759174;hello TikTok;7352332584569553669;7351197112710759174;@TheReaper:pa help po sana na masoppurtahan mga vedio ko pa like sana at pa follow
para Naman po maganahan akong mag upload
7351197112710759174;hello TikTok;7351270271976145669;7351197112710759174;hi
7351197112710759174;hello TikTok;7351208830108582662;7351197112710759174;Thank you for use @TikTok SMB Philippines
7334894164188447494;great help;7335602059846238981;7334894164188447494;great 👍🏽👍🏽👍🏽 enjoy
7334894164188447494;great help;7336723339623285510;7334894164188447494;hello
7338631526673253126;🥰🥰🥰 I did try tiktok promote and it really boost my views. Thanks for sharing;7352718056614298373;7338631526673253126;done
7338631526673253126;🥰🥰🥰 I did try tiktok promote and it really boost my views. Thanks for sharing;7339312106955014917;7338631526673253126;good luck
7338631526673253126;🥰🥰🥰 I did try tiktok promote and it really boost my views. Thanks for sharing;7346396218156991237;7338631526673253126;may bayad dba
7338631526673253126;🥰🥰🥰 I did try tiktok promote and it really boost my views. Thanks for sharing;7339276673782170373;7338631526673253126;hi
7338516605247243013;engage in;7341136780999344901;7338516605247243013;hi
7346421281900937990;support to my TikTok;7392644439809180424;7346421281900937990;hi tiktok
7346421281900937990;support to my TikTok;7351211046268322566;7346421281900937990;Thank you for use @TikTok SMB Philippines Please Follow me 🥰
7346421281900937990;support to my TikTok;7346437362707596037;7346421281900937990;hi
7335590444967248645;support for TikTok 🥰🥰🥰;7335602054034227974;7335590444967248645;awesome 😎
7346427200181519109;done tiktok..;7351209502430298886;7346427200181519109;Thank you for use @TikTok SMB Philippines
7346427200181519109;done tiktok..;7346437843743523589;7346427200181519109;hi
7338621490953634566;this is very useful, thank you.;7351209541592072965;7338621490953634566;Thank you for use @TikTok SMB Philippines
7338621490953634566;this is very useful, thank you.;7341136810888135429;7338621490953634566;hi
7351968968082866949;done 👍✅;7351974613092500230;7351968968082866949;hi
7351968968082866949;done 👍✅;7351980584481260294;7351968968082866949;thanks you best 🥰🥰🥰
7351968968082866949;done 👍✅;7351982426007159558;7351968968082866949;👍👍👍
7351968968082866949;done 👍✅;7352332511887115014;7351968968082866949;@TheReaper:pa help po sana na masoppurtahan mga vedio ko pa like sana at pa follow
para Naman po maganahan akong mag upload
7351968968082866949;done 👍✅;7352347461267686150;7351968968082866949;thanks you best 🥰🥰🥰
7331215774563320581;support;7332031242819044101;7331215774563320581;🥰🥰🥰🥰🥰
7331215774563320581;support;7336626741640184581;7331215774563320581;🥰🥰🥰
7331215774563320581;support;7351209362721112838;7331215774563320581;Thank you for use @TikTok SMB Philippines
7338216881508614917;support for tiktok pless;7351208666437436166;7338216881508614917;Thank you for use @TikTok SMB Philippines
7338216881508614917;support for tiktok pless;7354247425811890949;7338216881508614917;tikitoiu
7338216881508614917;support for tiktok pless;7341136906249831174;7338216881508614917;hi
7338234728614806277;tnx for sharing!!!👍👍🫰🥰;7338299209785082629;7338234728614806277;Done
7338234728614806277;tnx for sharing!!!👍👍🫰🥰;7338586704230974213;7338234728614806277;hi
7338234728614806277;tnx for sharing!!!👍👍🫰🥰;7351211133091447558;7338234728614806277;Thank you for use @TikTok SMB Philippines Please Follow me 🥰
7338337911697982213;support tiktok🥰🥰🥰;7341510404177543941;7338337911697982213;hi
7336469510487458566;pls support me;7346347504709305093;7336469510487458566;hi
7335623053480067845;yesssss;7346347688407122693;7335623053480067845;👍👍👍👍
7335623053480067845;yesssss;7351209431466312454;7335623053480067845;Thank you for use @TikTok SMB Philippines
7331280032013501189;support for TikTok 🥰;7331301174890545925;7331280032013501189;done
7335350633443508998;🌎🇵🇭 thanks god bless ♥️❤️🙏😇;7351211496977236741;7335350633443508998;Thank you for use @TikTok SMB Philippines Please Follow me 🥰
7335350633443508998;🌎🇵🇭 thanks god bless ♥️❤️🙏😇;7341511718165005061;7335350633443508998;hi
7334962051712123653;wow;7341510790375572230;7334962051712123653;hi
7334936478868587269;suport for tiktok 🥰;7341510752966984454;7334936478868587269;hi
7334851692818006790;Good morning everyone 🥰🥰🥰🥰🥰;7358976669631300358;7334851692818006790;Done 🧡🧡🧡🧡
7334851692818006790;Good morning everyone 🥰🥰🥰🥰🥰;7336781084036301574;7334851692818006790;hello po mam MONALIZA
7334851692818006790;Good morning everyone 🥰🥰🥰🥰🥰;7341510670443234054;7334851692818006790;hi
7336518943299126022;support;7341510823594967814;7336518943299126022;hi
7334929484451496709;always support...;7351208742996656901;7334929484451496709;Thank you for use @TikTok SMB Philippines
7334929484451496709;always support...;7346347174580175621;7334929484451496709;good sissy
7335930863622062853;🥰🥰🥰🥰🥰🥰 support TikTok 💪💪💪💪;7351211600915989253;7335930863622062853;Thank you for use @TikTok SMB Philippines Please Follow me 🥰
7335930863622062853;🥰🥰🥰🥰🥰🥰 support TikTok 💪💪💪💪;7341511796698399494;7335930863622062853;hi
7338331325513138950;thanks for sharing;7351221237199569669;7338331325513138950;🥰🥰🥰🥰
7338331325513138950;thanks for sharing;7338586995075302150;7338331325513138950;hi
7338331325513138950;thanks for sharing;7351209410892530437;7338331325513138950;Thank you for use @TikTok SMB Philippines
7338331325513138950;thanks for sharing;7392548027359724296;7338331325513138950;your welcome guys
7338629732747952901;done all;7341510404176528133;7338629732747952901;hi
7338629732747952901;done all;7351210931496239877;7338629732747952901;Thank you for use @TikTok SMB Philippines Please Follow me 🥰
7331554419609371397;i support🥰🥰🥰;7334656114418500357;7331554419609371397;thank you very much 🥰🥰🥰
7331554419609371397;i support🥰🥰🥰;7351209299136611077;7331554419609371397;Thank you for use @TikTok SMB Philippines
7338221729112785670;THANK YOU TIKTOK 🥰;7351208985481921285;7338221729112785670;Thank you for use @TikTok SMB Philippines
7338221729112785670;THANK YOU TIKTOK 🥰;7340915514912850693;7338221729112785670;hi
7335994079954141957;wow great .must try it🥰🥰🥰🥰🥰🥰;7341510738005394182;7335994079954141957;hi
7366850429229286150;thanks TikTok 🥰🥰🥰;7367612518335234821;7366850429229286150;done😅
7366850429229286150;thanks TikTok 🥰🥰🥰;7366860171942167301;7366850429229286150;hi
7366850429229286150;thanks TikTok 🥰🥰🥰;7366865631076336389;7366850429229286150;hello po
7344434209840349957;wow nice;7344474308778935046;7344434209840349957;hi
7344434209840349957;wow nice;7351209450697130758;7344434209840349957;Thank you for use @TikTok SMB Philippines
7334935091535954694;support🥰🥰🥰;7351208908830769925;7334935091535954694;Thank you for use @TikTok SMB Philippines
7334935091535954694;support🥰🥰🥰;7341510678439527174;7334935091535954694;hi
7346036310106817286;Done;7351210965126120197;7346036310106817286;Thank you for use @TikTok SMB Philippines Please Follow me 🥰
7346036310106817286;Done;7351221547417305862;7346036310106817286;done
7346036310106817286;Done;7346346930157830918;7346036310106817286;hi
7338286006761997062;thank u tiktok;7367296919960666885;7338286006761997062;🥰🥰🥰🥰🥰🥰🥰🥰🥰😁@ok
7338286006761997062;thank u tiktok;7364008665097814790;7338286006761997062;done👍
7338286006761997062;thank u tiktok;7351209395735315205;7338286006761997062;Thank you for use @TikTok SMB Philippines
7338286006761997062;thank u tiktok;7340915651190637317;7338286006761997062;hi
7331124670793941766;#supporting;7331254561863516934;7331124670793941766;Support tiktok.👍😘 Learn more about thier ads manager👍👍👍
7331124670793941766;#supporting;7351209104675734277;7331124670793941766;Thank you for use @TikTok SMB Philippines
7338227196194980614;🙏🫰🫰;7338346328638145285;7338227196194980614;❤
7338227196194980614;🙏🫰🫰;7351211105261191941;7338227196194980614;Thank you for use @TikTok SMB Philippines Please Follow me 🥰
7337111832169579269;great help;7351209137626612486;7337111832169579269;Thank you for use @TikTok SMB Philippines
7337111832169579269;great help;7341510893211697926;7337111832169579269;hi
7334881437454156549;❤️❤️👍👍thank you 👍👍❤️❤️;7341511666613306118;7334881437454156549;hi
7346414223214756614;support me done follow 🥰;7351147191405200133;7346414223214756614;🥰
7346414223214756614;support me done follow 🥰;7346437475608658694;7346414223214756614;hi
7335670515603096325;thanks TikTok ads manager 🥰🥰🥰;7338186046415389445;7335670515603096325;hi
7334909095014073093;Support for TikTok 🥰🥰😍👍;7351208821313602309;7334909095014073093;Thank you for use @TikTok SMB Philippines
7334909095014073093;Support for TikTok 🥰🥰😍👍;7346347565640762117;7334909095014073093;good sis
7334909095014073093;Support for TikTok 🥰🥰😍👍;7360448002358182662;7334909095014073093;🥰
7337113056197411590;Done;7344534690492662534;7337113056197411590;🥰🥰🥰🥰🥰🥰
7337113056197411590;Done;7338586732243223302;7337113056197411590;hi
7337113056197411590;Done;7351211312808542981;7337113056197411590;Thank you for use @TikTok SMB Philippines Please Follow me 🥰
7338281333154775813;support tiktok;7351211611295957765;7338281333154775813;Thank you for use @TikTok SMB Philippines Please Follow me 🥰
7338281333154775813;support tiktok;7340915708198519557;7338281333154775813;hi
7334893226400154373;support 🙏;7351211577284428549;7334893226400154373;Thank you for use @TikTok SMB Philippines Please Follow me 🥰
7334893226400154373;support 🙏;7341511337153626885;7334893226400154373;hi
7334560194519941893;thank you for sharing 🥰;7341511605345469189;7334560194519941893;hi
7338167312074162949;suppoŕt for tik to k;7338586949789598469;7338167312074162949;hi
7338167312074162949;suppoŕt for tik to k;7351209038384448261;7338167312074162949;Thank you for use @TikTok SMB Philippines
