cid;comment;reply_cid;reply_id;reply_text
7079831462144623386;Di bali ada ga min?;None;None;None
7079764380183331610;gmn kk;None;None;None
7079765188044096283;ijin , sya mau belajar bgt suhu .;None;None;None
7079765483012064026;Full peserta😥mauu joinn please;None;None;None
7079771897403294490;mau waktunya kapan jam brpa hari apa kaka;None;None;None
7079772123908686619;gimana caranya;None;None;None
7079774287330345755;mau lah min;None;None;None
7079774816949486363;cara nya spil atuh;None;None;None
7079779257186124571;caranya kak;None;None;None
7079780186329367323;usaNa;None;None;None
7079781510496207643;Pngn bgt jualn di tiktok tp mager bgtt posting2 gtu sukanya pegang hp sambil scroll;None;None;None
7079783240323613466;pngn gabung;None;None;None
7079783324353004315;cara nya gmn ka?;None;None;None
7079784066476409626;Carax gmna;None;None;None
7079785827266003739;jauuuhhh🥺🥺;None;None;None
7079789777364517659;caranya gmn? jawab dong... serius mau ikut;None;None;None
7079790291867616027;mau ikut kaa di jkt ada kah?;None;None;None
7079792247474144026;pesertanya ada om ferry;None;None;None
7079800229931205403;mau caranya;None;None;None
7079802348302140186;kerenn;None;None;None
7079763956638057243;dimana kak;None;None;None
