cid;comment;reply_cid;reply_id;reply_text
7327524436952826629;sehari di set brp ka biayanya?;7327569050489881350;7327524436952826629;Paling rendah aja selama 4 hari
7327524436952826629;sehari di set brp ka biayanya?;7327579208283751174;7327524436952826629;ty udh dijawab 😁
7327524436952826629;sehari di set brp ka biayanya?;7333403868888679173;7327524436952826629;kasih solusi/saran mas, mo iklan tapi takut boncos 😁, untuk promosi baiknya vt yg sudah/sedang fyp worth it ga 🙏.
7327821126221169414;itu lewat promosi tiktok apa tiktok ads kak;7327859782752338693;7327821126221169414;Leeat aplikasi fitur promosi
7327741538262418182;Mas vitur prmosi bisa naikin penjualan beneran ? ,udah kompare blm sebelum pake dan sesudah omsetnya gimana;None;None;None
7327651671043457797;Kak kakau daftar affiliate baru itu harus pakai nomer baru sama email;7327859738951582469;7327651671043457797;Bisa salah satunya aja
7327517937059922693;itu berapa hari bang iklannya, dan berapa estimasi biaya iklan;None;None;None
7327517280211944198;ok mas terima kasih,,, 🙏🙏🙏🙏😁 ntar akan saya coba mas...;None;None;None
7377997648034857734;Trmkasih solusinya;None;None;None
7333529405720003333;cara baca hasil iklan..biar tau boncos atau engga gmn mas?;None;None;None
7327647909556683526;Ka napa aku kalo promosi umur cuma bisa pilih 1 katagori umur aja gak bisa umur ya 2 katagori gitu ka;None;None;None
7327551541869904646;semangat 😁😁🔥🔥;None;None;None
7327517733481333510;kasih buget berapa perhari mas....? dan berapa hari..;None;None;None
7328246595836773125;beda x ads pkk komputer sama promosi lwat hp apa bang;None;None;None
7327516161858896645;Mas bener ga sih, kalo udah pernah pake ftur promosi, trus ga pake lagi views nya jeblok? Serius nanya, smga di jawab pke vt🙏🏻;7327518224923706117;7327516161858896645;Ngga ngaruh , klo sepi video sya pasti ancur karena banyak di iklanin
7327516161858896645;Mas bener ga sih, kalo udah pernah pake ftur promosi, trus ga pake lagi views nya jeblok? Serius nanya, smga di jawab pke vt🙏🏻;7327530390896476933;7327516161858896645;Ualaa okok. Makasih om
7327525085597205253;mohon maaf mas, saya pernah pakai promosi, akun pertama saya, viewnya malah dibawah 150 kalo gak pakai promosi;7327569228146475781;7327525085597205253;G ada hubunganya , berarti konten nya emang g bagus
